City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,ilulissat,69.2167,-51.1,-4.99,58,75,3.6,GL,1715097013
82,celestun,20.8667,-90.4,32.83,49,12,3.0,MX,1715097013
83,haiku-pauwela,20.9219,-156.3051,21.69,85,0,0.45,US,1715097013
84,san patricio,28.017,-97.5169,29.05,77,100,2.92,US,1715097013
85,qaqortoq,60.7167,-46.0333,2.47,47,46,1.23,GL,1715097013
86,rawson,-43.3002,-65.1023,15.37,70,99,9.95,AR,1715096990
87,at taj,24.2049,23.2857,32.24,9,45,3.2,LY,1715097013
88,tofol,5.3248,163.0078,28.07,82,99,6.59,FM,1715097013
89,rio grande,-32.035,-52.0986,23.06,85,99,4.19,BR,1715097013
90,floro,61.5996,5.0328,12.35,93,75,4.63,NO,1715097014
91,puerto natales,-51.7236,-72.4875,1.25,69,0,2.06,CL,1715097014
92,tiksi,71.6872,128.8694,0.01,99,100,5.31,RU,1715097014
93,tolanaro,-25.0319,46.9987,24.04,88,40,4.12,MG,1715097014
94,jamestown,42.097,-79.2353,22.51,48,75,2.24,US,1715097014
95,fort st. john,56.2499,-120.8529,7.94,39,75,9.26,CA,1715097014
96,margaret river,-33.95,115.0667,16.17,60,42,4.87,AU,1715097014
97,college,64.8569,-147.8028,2.87,89,75,2.57,US,1715097015
98,colonia,50.9333,6.95,19.34,78,75,2.57,DE,1715097015
99,urangan,-25.3,152.9,18.44,95,13,2.68,AU,1715097015
100,chonchi,-42.6128,-73.8092,8.4,81,93,1.3,CL,1715097015
101,iqaluit,63.7506,-68.5145,-3.15,68,20,8.23,CA,1715097015
102,sinabang,2.4803,96.3801,26.86,82,97,1.79,ID,1715097015
103,ormara,25.2088,64.6357,27.63,83,0,4.84,PK,1715097015
104,katsuura,35.1333,140.3,20.17,91,100,8.19,JP,1715096923
105,catumbela,-12.4314,13.5472,28.64,69,20,3.19,AO,1715097015
106,es castell,39.8795,4.2854,17.38,63,40,5.14,ES,1715097016
107,konarka,19.9,86.1167,27.22,82,100,3.6,IN,1715097016
108,happy valley-goose bay,53.3168,-60.3315,12.17,50,75,3.09,CA,1715097016
109,puerto deseado,-47.7503,-65.8938,3.08,97,100,4.3,AR,1715097016
110,whitehorse,60.7161,-135.0538,2.28,74,75,5.14,CA,1715097002
111,goba,7.0167,39.9833,12.37,91,66,0.41,ET,1715097016
112,sola,-13.8833,167.55,26.85,68,99,9.61,VU,1715097016
113,kodiak,57.79,-152.4072,3.73,87,100,2.06,US,1715097016
114,tangalle,6.024,80.7911,29.09,84,100,4.32,LK,1715097016
115,port lincoln,-34.7333,135.8667,14.73,84,44,6.0,AU,1715097017
116,puerto madero,14.7208,-92.4215,31.11,70,40,3.09,MX,1715097017
117,port isabel,26.0734,-97.2086,30.6,77,100,7.2,US,1715097017
118,kourou,5.1552,-52.6478,27.03,82,98,4.09,GF,1715096983
119,lospalos,-8.5186,127.0025,21.83,98,91,2.26,TL,1715097017
120,hasaki,35.7333,140.8333,20.22,89,100,6.49,JP,1715097017
121,shangmei,27.7428,111.2956,21.64,91,99,1.16,CN,1715097017
122,burang,30.25,81.1667,1.81,74,13,1.26,CN,1715097018
123,avellaneda,-29.1176,-59.6583,26.68,68,100,5.17,AR,1715097018
124,akureyri,65.6835,-18.0878,8.96,61,75,9.77,IS,1715097018
125,fale old settlement,-9.3852,-171.2468,29.25,77,93,3.96,TK,1715097018
126,bandarban,22.1965,92.2262,25.84,84,75,0.77,BD,1715097018
127,el granada,37.5027,-122.4694,14.89,78,75,4.12,US,1715097018
128,amontada,-3.3617,-39.8317,31.66,61,60,3.11,BR,1715097018
129,kidal,18.4411,1.4078,39.94,7,100,6.98,ML,1715097018
130,yellowknife,62.456,-114.3525,11.34,70,75,3.09,CA,1715096952
131,ostroleka,53.0862,21.5757,13.14,55,16,4.17,PL,1715097018
132,benghazi,32.1167,20.0667,22.02,50,83,5.51,LY,1715097019
133,mazatlan,23.2167,-106.4167,24.95,70,100,0.89,MX,1715096780
134,sabha,27.0377,14.4283,36.24,12,7,6.93,LY,1715097019
135,amursk,50.2261,136.8994,3.54,56,0,2.41,RU,1715096784
136,mossel bay,-34.1831,22.146,19.96,78,13,3.62,ZA,1715097019
137,kailua-kona,19.6406,-155.9956,23.98,60,40,5.14,US,1715097019
138,utrik,11.2278,169.8474,27.92,73,98,8.82,MH,1715097019
139,chortoq,41.0666,71.8553,23.97,30,47,3.62,UZ,1715097019
140,sironj,24.1,77.7,36.6,14,96,2.64,IN,1715097019
141,mazagao,-0.115,-51.2894,27.03,98,100,1.75,BR,1715097019
142,tual,-5.6667,132.75,27.03,79,100,2.14,ID,1715097020
143,nadi,-17.8,177.4167,24.0,88,75,0.0,FJ,1715097020
144,zouerate,22.7187,-12.4521,40.04,6,98,5.58,MR,1715097020
145,enewetak,11.3474,162.3373,27.97,78,88,7.9,MH,1715097020
146,fada,9.5667,8.3,24.64,74,100,1.93,NG,1715097020
147,hawaiian paradise park,19.5933,-154.9731,20.57,97,75,2.06,US,1715097020
148,hadibu,12.65,54.0333,29.93,74,13,1.64,YE,1715097020
149,papao,-17.75,-149.55,24.82,76,34,8.74,PF,1715097020
150,plouzane,48.3833,-4.6167,18.03,67,0,5.66,FR,1715097020
151,dhulikhel,27.6189,85.5529,15.75,82,96,1.95,NP,1715097020
152,kenai,60.5544,-151.2583,3.41,99,0,3.09,US,1715097021
153,longyearbyen,78.2186,15.6401,2.91,70,75,2.06,SJ,1715097021
154,iskateley,67.6803,53.1512,-6.1,83,87,7.6,RU,1715097021
155,tura,25.5198,90.2201,24.03,66,31,1.61,IN,1715097021
156,poronaysk,49.2167,143.1167,-1.8,77,93,4.61,RU,1715097021
157,tazacorte,28.629,-17.9293,23.97,79,20,4.12,ES,1715097021
158,port mathurin,-19.6833,63.4167,25.77,66,93,12.38,MU,1715097021
159,tiquipaya,-17.3382,-66.2189,24.43,24,20,1.79,BO,1715097021
160,magadan,59.5667,150.8,-0.26,99,99,1.85,RU,1715097021
161,fonte boa,-2.4959,-66.2662,31.7,60,100,0.95,BR,1715097021
162,imbituba,-28.24,-48.6703,28.88,51,13,3.31,BR,1715097022
163,codrington,-38.2667,141.9667,8.62,92,0,3.22,AU,1715097022
164,lihue,21.9789,-159.3672,22.77,79,75,6.69,US,1715097022
165,ancud,-41.8697,-73.8203,7.8,76,95,2.19,CL,1715096788
166,saint-pierre,-21.3393,55.4781,24.82,65,0,12.35,RE,1715097022
167,itoman,26.1247,127.6694,23.01,80,75,2.06,JP,1715097022
168,canutama,-6.5339,-64.3831,32.95,55,100,1.38,BR,1715097022
169,thompson,55.7435,-97.8558,7.09,70,40,6.69,CA,1715097022
170,mugia,43.1041,-9.2179,15.51,73,100,8.81,ES,1715097023
171,wailua homesteads,22.0669,-159.378,22.44,83,75,6.69,US,1715097023
172,villa gesell,-37.2639,-56.973,17.25,92,100,9.44,AR,1715096724
173,ketchikan,55.3422,-131.6461,7.41,87,100,3.6,US,1715096899
174,petrozavodsk,61.7849,34.3469,1.93,75,40,3.13,RU,1715096882
175,carnarvon,-24.8667,113.6333,21.93,52,14,6.07,AU,1715097023
176,nizhneudinsk,54.9076,99.0276,5.31,57,0,1.11,RU,1715097023
177,hamilton,39.1834,-84.5333,24.29,84,75,4.63,US,1715096637
178,aitape,-3.1374,142.3475,26.56,89,100,1.85,PG,1715097023
179,shache,38.4167,77.2406,24.16,18,0,2.89,CN,1715097023
180,saint-joseph,-21.3667,55.6167,24.21,75,43,7.39,RE,1715097024
181,badger,64.8,-147.5333,2.82,89,75,2.57,US,1715097024
182,nguigmi,14.2495,13.1092,39.83,9,2,3.02,NE,1715097024
183,sassandra,4.95,-6.0833,30.74,64,96,3.72,CI,1715097024
184,burao,9.5221,45.5336,27.62,55,95,1.55,SO,1715097024
